species_const	species_name	checkpoint	level_cap	track	orientation_reason	base_atk	base_spa	base_spe	best_physical_bp	best_special_bp	moves_available	status_moves_available	abilities	natures	builds_generated	confidence
SPECIES_CHESPIN	Chespin	1	15	support	atk 61 >= 1.15*spa 48, bestP 60	61	48	38	60	0	6	1	ABILITY_BULLETPROOF,ABILITY_NONE,ABILITY_IRON_BARBS	Bold,Calm,Impish	216	Derived
SPECIES_FENNEKIN	Fennekin	1	15	special	spa 62 >= 1.15*atk 45, bestS 60	45	62	60	40	60	6	1	ABILITY_BLAZE,ABILITY_NONE,ABILITY_MAGIC_GUARD	Modest,Timid,Calm	216	Derived
SPECIES_FENNEKIN	Fennekin	1	15	support	spa 62 >= 1.15*atk 45, bestS 60	45	62	60	40	60	6	1	ABILITY_BLAZE,ABILITY_NONE,ABILITY_MAGIC_GUARD	Bold,Calm,Impish	216	Derived
SPECIES_FROAKIE	Froakie	1	15	physical	within 15%, both pools >= 60 BP	56	62	71	60	60	7	0	ABILITY_TORRENT,ABILITY_NONE,ABILITY_PROTEAN	Adamant,Jolly,Careful	216	Derived
SPECIES_FROAKIE	Froakie	1	15	special	within 15%, both pools >= 60 BP	56	62	71	60	60	7	0	ABILITY_TORRENT,ABILITY_NONE,ABILITY_PROTEAN	Modest,Timid,Calm	216	Derived
SPECIES_FROAKIE	Froakie	1	15	mixed	within 15%, both pools >= 60 BP	56	62	71	60	60	7	0	ABILITY_TORRENT,ABILITY_NONE,ABILITY_PROTEAN	Naive,Hasty,Serious	216	Derived
SPECIES_SCATTERBUG_ICY_SNOW	Scatterbug	1	15	physical	atk 35 >= 1.15*spa 27, bestP 60	35	27	35	60	0	4	0	ABILITY_SHIELD_DUST,ABILITY_COMPOUND_EYES,ABILITY_FRIEND_GUARD	Adamant,Jolly,Careful	144	Derived
SPECIES_SCORBUNNY	Scorbunny	1	15	physical	atk 71 >= 1.15*spa 40, bestP 70	71	40	69	70	40	6	0	ABILITY_BLAZE,ABILITY_NONE,ABILITY_LIBERO	Adamant,Jolly,Careful	216	Derived
SPECIES_SOBBLE	Sobble	1	15	special	spa 70 >= 1.15*atk 40, bestS 60	40	70	70	70	60	5	0	ABILITY_TORRENT,ABILITY_NONE,ABILITY_SNIPER	Modest,Timid,Calm	180	Derived
SPECIES_HATENNA	Hatenna	1	15	support	no attacking track (bestP 0, bestS 50, max stat 56)	30	56	39	0	50	5	1	ABILITY_MAGIC_BOUNCE,ABILITY_MAGIC_GUARD,ABILITY_NONE	Bold,Calm,Impish	180	Derived
SPECIES_IMPIDIMP	Impidimp	1	15	support	no attacking track (bestP 60, bestS 0, max stat 55)	45	55	50	60	0	6	1	ABILITY_PRANKSTER,ABILITY_FRISK,ABILITY_INFILTRATOR	Bold,Calm,Impish	216	Derived
SPECIES_SPRIGATITO	Sprigatito	1	15	physical	atk 61 >= 1.15*spa 45, bestP 60	61	45	65	60	0	6	0	ABILITY_OVERGROW,ABILITY_NONE,ABILITY_PROTEAN	Adamant,Jolly,Careful	216	Derived
SPECIES_FUECOCO	Fuecoco	1	15	special	spa 63 >= 1.15*atk 45, bestS 60	45	63	36	60	60	6	0	ABILITY_BLAZE,ABILITY_NONE,ABILITY_UNAWARE	Modest,Timid,Calm	216	Derived
SPECIES_QUAXLY	Quaxly	1	15	physical	atk 65 >= 1.15*spa 50, bestP 60	65	50	50	60	0	5	0	ABILITY_TORRENT,ABILITY_NONE,ABILITY_MOXIE	Adamant,Jolly,Careful	180	Derived
SPECIES_TINKATINK	Tinkatink	1	15	physical	atk 45 >= 1.15*spa 35, bestP 60	45	35	58	60	40	6	0	ABILITY_MOLD_BREAKER,ABILITY_OWN_TEMPO,ABILITY_NONE	Adamant,Jolly,Careful	216	Derived
